username,user_id,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
futureshift,112243365,2018-02-08 08:14,1,3,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// trib.al/fWfRb2G pic.twitter.com/mSCzKUlvwQ,,,,961604055008251909,https://twitter.com/futureshift/status/961604055008251909
HrishiTomar,211063953,2018-02-08 08:41,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXqld pic.twitter.com/9d4bAT4MDq,,,,961610857883975681,https://twitter.com/HrishiTomar/status/961610857883975681
Witchypoo62au,92443441,2018-02-13 19:22,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People https:// fb.me/1x9cgWs2N,,,,963584182130741248,https://twitter.com/Witchypoo62au/status/963584182130741248
SellersTed,39236268,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYjB #Facebook #Hoax #Rumors #News_ Feed pic.twitter.com/BgCHZfifsw,,,#Facebook #Hoax #Rumors #News_,961600188442804225,https://twitter.com/SellersTed/status/961600188442804225
Sortiwa,3238757417,2018-02-07 12:08,0,0,"Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https:// goo.gl/i6HEHd pic.twitter.com/FWsohlhrGP",,,,961300728735203333,https://twitter.com/Sortiwa/status/961300728735203333
mediaadvantages,18138164,2018-02-08 08:06,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P pic.twitter.com/5gjwIvLe14,,,,961602095043563520,https://twitter.com/mediaadvantages/status/961602095043563520
isdsocial,269334836,2018-02-08 08:46,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXsXL,,,,961612113037807616,https://twitter.com/isdsocial/status/961612113037807616
mattjlasher,3261485947,2018-02-08 00:01,0,0,via @inc #business Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/vuLE50gpLNh,,@inc,#business,961479974367711232,https://twitter.com/mattjlasher/status/961479974367711232
Reach1SocMedia,2419955899,2018-02-08 08:00,0,0,@Mashable : That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25) friends could see your posts. In copy-paste messa... http:// ow.ly/AofU50gq1ri,,@Mashable,,961600617566429185,https://twitter.com/Reach1SocMedia/status/961600617566429185
magiciansbook,15985960,2018-02-19 10:05,1,2,Of course Facebook isn’t planning to limit your news feed to 26 friends! https:// slate.com/human-interest /2018/02/algorumors-the-viral-facebook-hoaxes-about-changes-to-facebook-policy.html?wpsrc=sh_all_dt_tw_ru … via @slate,,@slate,,965618385387245573,https://twitter.com/magiciansbook/status/965618385387245573
thenewschef,2939779248,2018-02-09 07:54,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People - https:// thenewschef.com/2018/02/hoax-f acebook-not-limiting-news-feed-26-people/ …,,,,961961531452764163,https://twitter.com/thenewschef/status/961961531452764163
KevinJDonaldson,188092633,2018-02-08 08:45,0,0,#Mashable That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25 ) friends could see your posts. In copy-paste message... http:// ht.ly/dcAQ50gq3lH,,,#Mashable,961612014320746497,https://twitter.com/KevinJDonaldson/status/961612014320746497
TimesUnionMedia,2447798023,2018-02-07 12:13,0,0,"Facebook isn't restricting your news feed to 26 friends, no matter what a viral hoax claims http:// jacksonville.com/zz/shareable/2 0180207/facebook-isnt-restricting-your-news-feed-to-26-friends-no-matter-what-viral-hoax-claims …",,,,961301952603803648,https://twitter.com/TimesUnionMedia/status/961301952603803648
leslymedina_,924636218,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed,,,,961600034490871808,https://twitter.com/leslymedina_/status/961600034490871808
FENY2000,44461370,2018-02-10 16:53,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on - USA TODAY https:// apple.news/AHPH8XeN_Ryqt8 2OyEwdNkA …",,,,962459571028725761,https://twitter.com/FENY2000/status/962459571028725761
AfterDarkGrafx,94490546,2018-02-07 04:51,1,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on http://www. abc10.com/article/news/n ation-now/facebook-limiting-status-updates-in-news-feed-to-25-friends-thats-a-hoax-pass-it-on/465-f947997d-319c-43e0-94d8-602029b69536?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5a7acaa73ed3f00007419661&utm_medium=trueAnthem&utm_source=facebook …",,,,961190575679553537,https://twitter.com/AfterDarkGrafx/status/961190575679553537
ebstt,3167941782,2018-02-08 00:16,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/DPYg50gpMdE,,,,961483748477947904,https://twitter.com/ebstt/status/961483748477947904
chweeks,234763768,2018-02-08 10:31,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFYbBL pic.twitter.com/dEEiKEOf7Z,,,,961638658863374336,https://twitter.com/chweeks/status/961638658863374336
foggybottomgal,1593224094,2018-02-07 05:11,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @USATODAY",,@USATODAY,,961195583892606977,https://twitter.com/foggybottomgal/status/961195583892606977
Justine___C,2344193034,2018-02-08 07:59,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// on.mash.to/2BLtcpZ,,,,961600296492371968,https://twitter.com/Justine___C/status/961600296492371968
Panu_e,918569125,2018-02-08 07:58,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed,,,,961600025989070854,https://twitter.com/Panu_e/status/961600025989070854
BabsJDancer,43338835,2018-02-07 15:47,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @usatoday",,@usatoday,,961355844091719680,https://twitter.com/BabsJDancer/status/961355844091719680
AcworthGAHomes,2727344102,2018-02-08 13:30,0,0,"HOAX .. Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on http:// ow.ly/4WXb30igVt0 https:// fb.me/v5fvooJf",,,,961683641423278080,https://twitter.com/AcworthGAHomes/status/961683641423278080
SpeakersGuild,4855405122,2018-02-08 10:35,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed via @mashable http:// ow.ly/84u430ihpbg #socialmedia #marketing,,@mashable,#socialmedia #marketing,961639526992105475,https://twitter.com/SpeakersGuild/status/961639526992105475
bigbangtraffic,941689774175326209,2018-02-11 18:02,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// fb.me/1E1BF7hkw,,,,962839198809182213,https://twitter.com/bigbangtraffic/status/962839198809182213
ZucksArmy,815247619178033153,2018-02-08 18:15,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People http:// ift.tt/2BkBaW7,,,,961755498172309504,https://twitter.com/ZucksArmy/status/961755498172309504
blueeyedmonkey,2400171,2018-02-07 11:09,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// fb.me/1e1yxgIka",,,,961285805686841344,https://twitter.com/blueeyedmonkey/status/961285805686841344
james5007_nt,796471157159399424,2018-02-08 09:27,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFY7fr pic.twitter.com/SRPCWiFXoe,,,,961622447714807808,https://twitter.com/james5007_nt/status/961622447714807808
ca_directory,865034546672095232,2018-02-08 03:15,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/TR8m50gpQQS,,,,961528974039019520,https://twitter.com/ca_directory/status/961528974039019520
RESQBug,14299645,2018-02-08 09:09,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFY0t7 pic.twitter.com/7qtHyIukqV,,,,961617926997422081,https://twitter.com/RESQBug/status/961617926997422081
FerFerFinch,781482301800615936,2018-02-13 08:50,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @usatoday",,@usatoday,,963425100140859393,https://twitter.com/FerFerFinch/status/963425100140859393
Rana_isms,851068968,2018-02-07 05:28,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @usatoday",,@usatoday,,961199986154311680,https://twitter.com/Rana_isms/status/961199986154311680
blazedogpc,995658097,2018-02-08 08:15,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25) friends could see your posts. In copy-paste messages that mad... http:// ow.ly/XA1T50gq2kM,,,,961604466884726784,https://twitter.com/blazedogpc/status/961604466884726784
berkesch,18452881,2018-02-08 08:06,1,0,"""That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" https:// mashable.com/2018/02/08/fac ebook-news-feed-26-friends-rumor-see-first-how-to/?utm_campaign=Mash-Prod-RSS-Feedburner-All-Partial&utm_cid=Mash-Prod-RSS-Feedburner-All-Partial … #socialmedia #feedly",,,#socialmedia #feedly,961602078849323009,https://twitter.com/berkesch/status/961602078849323009
OMGStacks,82956754,2018-02-08 07:58,0,0,#Mashable That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYSj pic.twitter.com/2uuoSR0qix,,,#Mashable,961600034608267264,https://twitter.com/OMGStacks/status/961600034608267264
RTPeat,1085921,2018-02-15 11:36,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// buff.ly/2Es8aKG,,,,964191682936934400,https://twitter.com/RTPeat/status/964191682936934400
Web20watch,740323196,2018-02-07 14:32,0,0,"Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims - Washington Post http:// dlvr.it/QFRVqq",,,,961336778866085888,https://twitter.com/Web20watch/status/961336778866085888
RPCFactoryTeam,2465004790,2018-02-08 07:58,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// fb.me/1ReFFq7RW,,,,961600042279817216,https://twitter.com/RPCFactoryTeam/status/961600042279817216
SavePrivacyNow,546910610,2018-02-07 11:36,0,0,"Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims - Washington Post http:// ift.tt/2EsSXfq",,,,961292548210941952,https://twitter.com/SavePrivacyNow/status/961292548210941952
marketingmuseaz,831318082333270016,2018-02-08 00:20,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It via @Inc https://www. marketingmuses.com/facebook-hoax- claims-your-news-feed-is-now-only-26-friends-and-saying-hi-will-fix-it-via-inc/ …,,@Inc,,961484989828386816,https://twitter.com/marketingmuseaz/status/961484989828386816
Nashvillerocker,38763765,2018-02-07 06:24,1,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on! https://www. usatoday.com/story/tech/tal kingtech/2018/02/06/facebook-status-update-25-friends-hoax/313684002/ …",,,,961214101237223424,https://twitter.com/Nashvillerocker/status/961214101237223424
sriramhebbar,18209666,2018-02-08 08:07,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// j.mp/2sdKs30 pic.twitter.com/e3uSZwEP9e,,,,961602303831638017,https://twitter.com/sriramhebbar/status/961602303831638017
jdtoellner,18231327,2018-02-08 11:52,0,0,"Analysis | Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https:// fb.me/85t1FV2DT",,,,961659137401737218,https://twitter.com/jdtoellner/status/961659137401737218
rachille12,108804314,2018-02-09 12:45,0,0,"Analysis | Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// wapo.st/2nR8Qlt?tid=ss _tw&utm_term=.dafda2c025b3 …",,,,962034645100449796,https://twitter.com/rachille12/status/962034645100449796
MintLLC,1466050752,2018-02-08 09:21,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFY5lm pic.twitter.com/Ry8EH1LFMQ,,,,961621078186409986,https://twitter.com/MintLLC/status/961621078186409986
VirtualTao,352416529,2018-02-12 09:10,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People - http:// ow.ly/rPfA30ikuho #facebook #socialmedia #hoax,,,#facebook #socialmedia #hoax,963067743787511809,https://twitter.com/VirtualTao/status/963067743787511809
GeeksTechTweets,117748506,2018-02-08 02:00,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It http:// ift.tt/2sjjTJE #Facebook #TechNews,,,#Facebook #TechNews,961510071489482753,https://twitter.com/GeeksTechTweets/status/961510071489482753
Amdavaadi,825991072396537856,2018-02-08 07:58,0,0,"Mashable ""That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" http:// ift.tt/2sgQ38P #News",,,#News,961600064346116096,https://twitter.com/Amdavaadi/status/961600064346116096
JennwnJohnson,886951056797839360,2018-02-08 08:49,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXtBN pic.twitter.com/a3OkKWMst3,,,,961612894554112000,https://twitter.com/JennwnJohnson/status/961612894554112000
berge31,22259704,2018-02-08 07:59,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25) friends could see your posts. In copy-paste messages that made r…,,,,961600316142706688,https://twitter.com/berge31/status/961600316142706688
SEOvibes,374719710,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYLb #news #mashable pic.twitter.com/bOWVUN6AJ0,,,#news #mashable,961600028979560449,https://twitter.com/SEOvibes/status/961600028979560449
AnthonyB61,439280644,2018-02-08 00:30,0,0,#LeadsGeneration #SmallBusiness #Entrepreneur Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/eOlL50gpMFa,,,#LeadsGeneration #SmallBusiness #Entrepreneur,961487444905472002,https://twitter.com/AnthonyB61/status/961487444905472002
JanHaugland,274923088,2018-02-10 03:56,0,0,"Another nonsense chain letter on social media Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https://www. washingtonpost.com/news/the-inter sect/wp/2018/02/07/facebook-isnt-restricting-your-news-feed-to-26-friends-no-matter-what-a-viral-hoax-claims/?utm_term=.9a1fe5f686ca …",,,,962263876086706176,https://twitter.com/JanHaugland/status/962263876086706176
njgina,151480627,2018-02-08 07:02,0,1,"Friends don't let friends share fake news. Another hoax . No, Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// wapo.st/2nR8Qlt?tid=ss _tw&utm_term=.196b27c7cd73 …",,,,961586111532462080,https://twitter.com/njgina/status/961586111532462080
MobiOps,420352830,2018-02-08 08:46,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXsQF,,,,961612096197640192,https://twitter.com/MobiOps/status/961612096197640192
ebstt,3167941782,2018-02-08 00:00,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/iWm950gpLoV,,,,961479868822237187,https://twitter.com/ebstt/status/961479868822237187
Internettechnew,620460259,2018-02-07 05:30,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on - USA TODAY http:// dlvr.it/QFN4Zn",,,,961200521896849408,https://twitter.com/Internettechnew/status/961200521896849408
SocialLifeMiami,767499419335950336,2018-02-07 02:01,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// usat.ly/2BfQJOr",,,,961147879791431680,https://twitter.com/SocialLifeMiami/status/961147879791431680
barcachamps08,25080283,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYLX,,,,961600022188978177,https://twitter.com/barcachamps08/status/961600022188978177
tsairox,49546535,2018-02-08 07:58,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYLQ pic.twitter.com/KPiFkp33R4,,,,961600027339599872,https://twitter.com/tsairox/status/961600027339599872
rajendarbairi,115412965,2018-02-08 08:02,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2EOoLZV pic.twitter.com/Wy2h7ASb6o,,,,961601157453045760,https://twitter.com/rajendarbairi/status/961601157453045760
garyanddino,89843213,2018-02-07 12:05,4,4,"DON'T BE STUPID: Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on (STORY) https://www. facebook.com/garyanddino/po sts/1877614062249436 …",,,,961299933407019008,https://twitter.com/garyanddino/status/961299933407019008
Chrysalisst,740445054,2018-02-08 08:12,0,0,"New post: ""That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" http:// ift.tt/2EPSody",,,,961603578954764289,https://twitter.com/Chrysalisst/status/961603578954764289
SocialClickLWR,721501427281960962,2018-02-16 10:21,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed via @mashable #facebook #socialmedia https:// buff.ly/2EjCrLo pic.twitter.com/42BNytRy74,,@mashable,#facebook #socialmedia,964535099994923008,https://twitter.com/SocialClickLWR/status/964535099994923008
yutanews,106405541,2018-02-08 18:04,0,0,"""That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" via Mashable! http:// ift.tt/2sgQ38P",,,,961752584284459008,https://twitter.com/yutanews/status/961752584284459008
ConsumerWD,98957425,2018-02-07 11:34,2,1,"Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https://www. washingtonpost.com/news/the-inter sect/wp/2018/02/07/facebook-isnt-restricting-your-news-feed-to-26-friends-no-matter-what-a-viral-hoax-claims/ …",,,,961292131267624960,https://twitter.com/ConsumerWD/status/961292131267624960
D100News,854813837836656640,2018-02-08 08:11,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXdwV pic.twitter.com/GpNtBBePMq,,,,961603294903676928,https://twitter.com/D100News/status/961603294903676928
amtaham,37829827,2018-02-08 08:49,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// bit.ly/2scj5WY pic.twitter.com/01eASR4PBL,,,,961612879957934083,https://twitter.com/amtaham/status/961612879957934083
data_nerd,119802433,2018-02-08 00:15,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/9d3l50gpMaD,,,,961483706702745600,https://twitter.com/data_nerd/status/961483706702745600
HrishiTomar,211063953,2018-02-08 08:41,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXqld pic.twitter.com/9d4bAT4MDq,,,,961610857883975681,https://twitter.com/HrishiTomar/status/961610857883975681
OnlineMarketmix,606252007,2018-02-09 01:37,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People - Forbes http:// dlvr.it/QFdtn7,,,,961866643881078784,https://twitter.com/OnlineMarketmix/status/961866643881078784
SohanMW,1402771075,2018-02-08 08:23,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// goo.gl/E4fNJh via @mashable #SMM #SocialMedia pic.twitter.com/9ISMfWQdSd,,@mashable,#SMM #SocialMedia,961606322675335169,https://twitter.com/SohanMW/status/961606322675335169
gknmission,830462582251151361,2018-02-08 08:52,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// goo.gl/fb/8EiXyN #howto,,,#howto,961613638195974144,https://twitter.com/gknmission/status/961613638195974144
Lucas_Wyrsch,13339612,2018-02-08 07:58,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYVy,,,,961600033924595714,https://twitter.com/Lucas_Wyrsch/status/961600033924595714
Dallasinformer,169881795,2018-02-08 18:21,0,0,Don’t fall for this new viral hoax about your Facebook feed https:// dallasinformer.com/260692/dont-fa ll-for-this-new-viral-hoax-about-your-facebook-feed/ … pic.twitter.com/pJUTTjerID,,,,961756943026139139,https://twitter.com/Dallasinformer/status/961756943026139139
jsweeney10,161777573,2018-02-07 13:32,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// fb.me/arVl3zkPv",,,,961321697747095553,https://twitter.com/jsweeney10/status/961321697747095553
weaman,18874443,2018-02-07 18:53,0,0,"Analysis | Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// wapo.st/2nR8Qlt?tid=ss _tw&utm_term=.bab022aad0f5 …",,,,961402640767901696,https://twitter.com/weaman/status/961402640767901696
Mastik3,1863160872,2018-02-08 07:56,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2EOoLZV #tech,,,#tech,961599553844711431,https://twitter.com/Mastik3/status/961599553844711431
SthrnFrdScl,3419149469,2018-02-08 08:19,0,1,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// mashable.com/2018/02/08/fac ebook-news-feed-26-friends-rumor-see-first-how-to/#md8y.ztkH5O0 … via @mashable,,@mashable,#md8y,961605326582812674,https://twitter.com/SthrnFrdScl/status/961605326582812674
Mahadihossainu,3073438634,2018-02-08 08:05,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P,,,,961601824137637888,https://twitter.com/Mahadihossainu/status/961601824137637888
nominus_com,779014039678685184,2018-02-18 21:30,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// buff.ly/2ElN5kO pic.twitter.com/3zLnhs24gy,,,,965428241665282048,https://twitter.com/nominus_com/status/965428241665282048
snkw1974,16644866,2018-02-08 08:03,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25 ) friends could see your posts. In copy-paste messages that made r…,,,,961601345726840832,https://twitter.com/snkw1974/status/961601345726840832
berge31,22259704,2018-02-08 07:59,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25) friends could see your posts. In copy-paste messages that made r…,,,,961600316142706688,https://twitter.com/berge31/status/961600316142706688
cumihomo,425692962,2018-02-08 08:10,0,0,"""That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" http:// ift.tt/2EPSody",,,,961603132815011840,https://twitter.com/cumihomo/status/961603132815011840
mikekruger,16034922,2018-02-08 14:04,0,0,"Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https:// buff.ly/2E8lgk1 pic.twitter.com/LhPhnrlivO",,,,961692119659417600,https://twitter.com/mikekruger/status/961692119659417600
yutanews,106405541,2018-02-08 18:04,0,0,"""That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed "" via Mashable! http:// ift.tt/2sgQ38P",,,,961752584284459008,https://twitter.com/yutanews/status/961752584284459008
MartinMeister,7048682,2018-02-08 03:11,0,2,#Facebook #hoax #25 #feed https://www. cnet.com/news/no-facebo ok-isnt-limiting-you-to-25-friends-status-updates/ …,,,#Facebook #hoax #25 #feed,961527939182551040,https://twitter.com/MartinMeister/status/961527939182551040
HelenaSweden,38671886,2018-02-07 02:36,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @usatoday",,@usatoday,,961156735439433728,https://twitter.com/HelenaSweden/status/961156735439433728
amtaham,37829827,2018-02-08 08:49,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// bit.ly/2scj5WY pic.twitter.com/01eASR4PBL,,,,961612879957934083,https://twitter.com/amtaham/status/961612879957934083
techstartupguy,1513902578,2018-02-08 01:40,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It https://www. inc.com/minda-zetlin/f acebook-hoax-claims-your-news-feed-is-now-only-26-friends-saying-hi-will-fix-it.html … pic.twitter.com/BfR0JhtzWx,,,,961505064849321984,https://twitter.com/techstartupguy/status/961505064849321984
milo5714900,28119151,2018-02-07 11:40,0,0,"Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims - Washington Post http:// dlvr.it/QFQT9D #socialmedia pic.twitter.com/Fk2bsH6l5V",,,#socialmedia,961293559784554496,https://twitter.com/milo5714900/status/961293559784554496
blazedogpc,995658097,2018-02-08 08:15,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25 ) friends could see your posts. In copy-paste messages that mad... http:// ow.ly/XA1T50gq2kM,,,,961604466884726784,https://twitter.com/blazedogpc/status/961604466884726784
LizsellsGeorgia,2165263724,2018-02-06 21:31,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// fb.me/15hNbYSG2",,,,961080043643555840,https://twitter.com/LizsellsGeorgia/status/961080043643555840
craftymomof3,15842588,2018-02-09 19:15,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on http:// crwd.fr/2ENkSo6",,,,962132843001536512,https://twitter.com/craftymomof3/status/962132843001536512
nagabhushant,377435980,2018-02-08 00:00,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - http:// Inc.com http:// dlvr.it/QFTvpT,,,,961479725171396608,https://twitter.com/nagabhushant/status/961479725171396608
HardKnoxMBA,204426440,2018-02-08 01:28,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It http:// dlvr.it/QFVK48 pic.twitter.com/Wl41BLgBja,,,,961501874607161344,https://twitter.com/HardKnoxMBA/status/961501874607161344
Liana360,273716478,2018-02-08 04:58,0,0,"Analysis | Facebook isn't restricting your News Feed to 26 friends, no matter what a viral hoax claims http:// wapo.st/2nR8Qlt?tid=ss _tw&utm_term=.893f167f4ce9 …",,,,961554886436499456,https://twitter.com/Liana360/status/961554886436499456
Seyfdin2,958427498827714560,2018-02-08 08:21,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXjPV pic.twitter.com/DYgEpidLoS,,,,961605812987731968,https://twitter.com/Seyfdin2/status/961605812987731968
dalal_abohashim,780790168802369537,2018-02-08 08:21,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXjNC pic.twitter.com/7gjKb8TUV3,,,,961605825289572352,https://twitter.com/dalal_abohashim/status/961605825289572352
mrcewms,23638831,2018-02-07 23:10,0,1,Facebook hoax says your news feed will be limited to status updates from 25 friends https:// usat.ly/2nQ2MKe via @usatoday,,@usatoday,,961467281552355328,https://twitter.com/mrcewms/status/961467281552355328
